id_polo,uf_polo,municipio_polo,nome_polo,nome_fantasia,polo_logradouro,polo_numero,polo_bairro,polo_cep,polo_complemento
114,MS,São Gabriel do Oeste,SAO GABRIEL DO OESTE - ZONA RURAL,POLO DE APOIO PRESENCIAL DA UAB EM SAO GABRIEL DO OESTE,Rodovia São Gabriel Rio Negro Km 04,,Zona Rural,79490000,Antiga Escola Agrícola
115,MT,Juara,JUARA - CENTRO,POLO UAB - JUARA,RUA PIRACICABA,105-W,CENTRO,78575000,
116,MT,Pontes e Lacerda,PONTES E LACERDA - CENTRO,POLO UAB - PONTES E LACERDA,Avenida Bom Jesus,643,Centro,78250000,escola
117,MT,Primavera do Leste,PRIMAVERA DO LESTE - CENTRO,POLO UAB - PRIMAVERA DO LESTE,Av. Porto Alegre,30,Centro,78850000,
118,MT,Ribeirão Cascalheira,RIBEIRAO CASCALHEIRA - SETOR INDUSTRIAL,POLO RUI BARBOSA - RIBEIRAO CASCALHEIRA - UAB,Padre João Bosco,2918,Setor Industrial,78675000,Centro de Educaçã oa Distancia
119,MT,São Félix do Araguaia,SAO FELIX DO ARAGUAIA - CENTRO,POLO UAB - SAO FELIX DO ARAGUAIA,Rua João Irineu,480,CENTRO,78670000, 
124,PA,Dom Eliseu,DOM ELISEU - PDS,POLO DE APOIO PRESENCIAL DE DOM ELISEU - UAB,"RUA CASTRO ALVES,PDS ",,PDS,68633000, emef manoelito sande de andrade 
126,PA,Juruti,JURUTI - MARACANA,POLO UAB - JURUTI,Rua Arnaldo Pinheiro,s/n,Maracanã,68170000,Escola Municipal Professora Zelinda de Souza Guimarães
129,PA,Parauapebas,PARAUAPEBAS - CIDADE NOVA,POLO PARAUAPEBAS - UAB,"RUA A, QUADRA ESPECIAL",,CIDADE NOVA,68515000,CEUP- CENTRO UNIVERSITÁRIO DE PARAUAPEBAS
130,PA,Redenção,REDENCAO - VILA PAULISTA,POLO CARAJAS ,Av. Ministro Oscar Thompson,750,Vila Paulista,68552140,Anexo à Escola Maria Conceição Correia
133,PA,Tailândia,TAILANDIA - NOVO,POLO UNIVERSITARIO DE TAILANDIA - UAB,AVENIDA FLORIANÓPOLIS,96,NOVO,68695000,
134,PA,Tucumã,TUCUMA - BAIRRO DAS FLORES,POLO UAB UNIVERSITARIO DE TUCUMA,RUA TUCURUI ,,BAIRRO DAS FLORES,68385000,ESCOLA MUNICIPAL ELCIONE BARBALHO
135,PB,Alagoa Grande,ALAGOA GRANDE - CONJUNTO CEHAP I,POLO UAB - ALAGOA GRANDE,Rua Francisco Carlos da Silva,,Conjunto CEHAP I,58388000,CAIC
136,PB,Araruna,ARARUNA - CENTRO,POLO UAB - ARARUNA,Rua Fausto Herminio de Araújo,S/N,CENTRO,58233000,Anexo da Igreja Matriz
137,PB,Campina Grande,CAMPINA GRANDE - CENTRO,POLO MUNICIPAL DE APOIO PRESENCIAL - CAMPINA GRANDE - UAB, RUA SANTA CLARA( LARGO DO AÇUDE NOVO),S/N,CENTRO,58400170, AO LADO DA CERVEJARIA BIG MIX
138,PB,Conde,CONDE - CENTRO,POLO DE APOIO PRESENCIAL DA UAB - CONDE,"RODOVIA PB 018 - KM 3,5",,CENTRO,58322000, 
139,PB,Cuité de Mamanguape,CUITE DE MAMANGUAPE - CENTRO,POLO UAB - CUITE DE MAMANGUAPE,RUA DA MATRIZ S/N ,,CENTRO,58289000, 
140,PB,Duas Estradas,DUAS ESTRADAS - CENTRO,POLO DE APOIO E.M.PROF  MARIA DUTRA - DUAS ESTRADAS - UAB,Rua Presidente Médici,154,Centro,58568000,Escola Municipal E. F. Diva Lira de Carvalho
141,PB,Itabaiana,ITABAIANA - JUCURI,POLO MUNICPAL DE APOIO PRESENCIAL DE ITABAIANA - UAB,RUA DO JUCURI  ,S/N,JUCURI,58360000,CAIC
142,PB,Itaporanga,ITAPORANGA - CENTRO,POLO UNIVERSITARIO DE APOIO PRESENCIAL - UAB - ITAPORANGA-PB,Avenida Padre Lourenço,328,Centro,58780000,
143,PB,João Pessoa,JOAO PESSOA - EXPEDICIONARIOS,POLO UAB JOAO PESSOA,AVENIDA MINISTRO JOSÉ AMÉRICO DE ALMEIDA ,2727,EXPEDICIONÁRIOS,58040302,
144,PB,Livramento,LIVRAMENTO - SANTO ANTONIO,POLO UAB - LIVRAMENTO,RUA ARNALDO GUILHERME DOS SANTOS,S/N,SANTO ANTONIO,58690000,PRÉDIO
145,PB,Lucena,LUCENA - FAGUNDES,POLO DE APOIO PRESENCIAL DE LUCENA - UAB,RUA SÃO JOSÉ,,FAGUNDES,58315000, 
146,PB,Mari,MARI - JOSE AMERICO,POLO UAB - MARI,RUA TEREZA SALES ,S/N,JOSÉ AMÉRICO,58345000,
147,PB,Pitimbu,PITIMBU -  CENTRO,POLO UAB DE PITIMBU,Travessa Bela Vista,S/N,Centro,58324000,
148,PB,Pombal,POMBAL - CENTRO,POLO DE APOIO PRESENCIAL DE POMBAL JARIO VIEIRA FEITOSA - POMBAL - UAB,RUA MANOEL PIRES DE SOUSA,,CENTRO,58840000, 
149,PE,Ipojuca,IPOJUCA - CENTRO,POLO DE APOIO PRESENCIAL DA UAB IPOJUCA,RUA DO COLÉGIO,,CENTRO,55590000, 
150,PE,Limoeiro,LIMOEIRO - JUA,POLO UAB - LIMOEIRO-PE,Rua São Vicente Ferrer,97,JUA,55700000,CENTRO SOCIAL URBANO-Loteamento Ladeira Vermelha 
151,PE,Olinda,OLINDA - SALGADINHO,POLO ESPACO CIENCIA - OLINDA - UAB,"COMPLEXO SALGADINHO, MEMORIAL ARCOVERDE- PARQUE II",,SALGADINHO,53111970, Complexo de Salgadinho - memorial arcoverde - parque ii - s/n
152,PE,Pesqueira,PESQUEIRA - CENTRO,POLO  UAB MONSENHOR FAUSTO DE SOUZA FERRAZ,Av Ésio Araújo,17,Centro,55200000,
