57,ES,Bom Jesus do Norte,BOM JESUS DO NORTE - CENTRO,POLO UAB DE APOIO PRESENCIAL DE BOM JESUS DO NORTE-ES ,AV. GOVERNADOR FRANCISCO LACERDA DE AGUIAR,S/Nº,CENTRO,29460000,,-21.0980507,-41.6311166
58,ES,Castelo,CASTELO - VILA ISABEL,POLO UAB - CASTELO,"Praça Mário Lima, número",43,Vila Isabel,29360000, Escola Madalena Pisa,-20.5470065,-41.1602597
59,ES,Conceição da Barra,CONCEICAO DA BARRA - CENTRO,POLO MUNICIPAL DE APOIO PRESENCIAL - CENTRO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA DE CONCEICAO DA BARRA - CEME@D - UAB,Rua Vidilino Matos de Lima,s/n,Centro,29960000,Prédio da cozinha industrial,-18.4785834,-39.8579118
60,ES,Domingos Martins,DOMINGOS MARTINS - CENTRO,POLO MUNICIPAL DE APOIO PRESENCIAL DE DOMINGOS MARTINS - UAB,TRAVESSA AUGUSTO SCHWAMBACH,87,CENTRO,29260000, ,-20.3273264,-40.8374011
61,ES,Ecoporanga,ECOPORANGA - CENTRO,POLO UNIVERSITARIO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL DE ECOPORANGA,Rua José Cruz,s/n°,CENTRO,29850000,,-18.3772551,-40.71585700000001
62,ES,Itapemirim,ITAPEMIRIM - CENTRO,POLO DE APOIO PRESENCIAL DO SISTEMA UNIVERSIDADE ABERTA DO BRASIL - UAB DE ITAPEMIRIM/ES.,AVENIDA CRISTIANO DIAS LOPES FILHO,s/nº,CENTRO,29330000, ,-20.9829904,-40.9990597
63,ES,Iúna,IUNA - NITEROI,POLO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA  DE IUNA,AV. MINTAS OSÓRIO DE MATTOS,1459,NITEROI,29390000,PARQUE DE EXPOSIÇÕES CASSIANO OSÓRIO JÚNIOR,-20.3597726,-41.7407394
64,ES,Mantenópolis,MANTENOPOLIS - CENTRO, POLO MUNICIPAL DE APOIO PRESENCIAL DE MANTENOPOLIS/ES  CEME@AD -CENTRO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA,Av. TIRADENTES ,,CENTRO,29770000,EM CIMA DA RODOVIÁRIA,-18.8872717,-41.0595636
65,ES,Mimoso do Sul,MIMOSO DO SUL - CHACARA DO CHAFARIZ,POLO MUNICIPAL DE APOIO PRESENCIAL - CENTRO MUNICIPAL DE EDUCACAO ABERTA E DISTANCIA - MIMOSO DO SUL - UAB,RUA PROJETADA  ,s/n,CHÁCARA DO CHAFARIZ,29400000, Pombal,-21.0985212,-41.401196
67,ES,Pinheiros,PINHEIROS - CENTRO,CESP- CENTRO DE EDUCACAO SUPERIOR DE PINHEIROS - UAB,Rua: General Rondon,S/N,CENTRO,29980000,Bairro  Nova Canaã,-18.3958665,-40.1862129
68,ES,Piúma,PIUMA - CENTRO,POLO UAB - PIUMA,Rua Jair Novais,56,Centro,29285000,,-20.8451736,-40.7665315
69,ES,Santa Leopoldina,SANTA LEOPOLDINA - CENTRO,POLO DE APOIO PRESENCIAL/UAB - UNIVERSIDADE ABERTA DO BRASIL,RUA MOXAFONGO,s/n,CENTRO,29640000, PRÉDIO,-20.1054387,-40.5127142
70,ES,Vargem Alta,VARGEM ALTA - CENTRO,"POLO MUNICIPAL DE APOIO PRESENCIAL CEMEAD ""ISAAC THOMPSON DE PAULA ""VARGEM ALTA - UAB", RUA PEDRO ISRAEL DAVID,500,CENTRO,29295000, ,-20.6458812,-41.01923490000001
73,GO,Aguas Lindas de Goiás,AGUAS LINDAS DE GOIAS - MANSOES OLINDA,POLO UAB - AGUAS LINDAS DE GOIAS,RUA 13 - QUADRA A1 LOTE 02 ,,MANSÕES OLINDA,72910000, ,-15.7460358,-48.299098
74,GO,Alexânia,ALEXANIA - FAZENDA CACHOEIRA,"POLO UAB - ALEXANIA ""CORA CORALINA""",GO 139 KM 02 ,,FAZENDA CACHOEIRA,72930000,ESCOLA AGRÍCOLA LOTHAR SCHILLER ,-16.0821361,-48.5074307
75,GO,Alto Paraíso de Goiás,ALTO PARAISO DE GOIAS - CENTRO,POLO UAB ALTO PARAISO DE GOIAS,RUA SÃO JORGE QUADRA 26 PARTE DA  APM 6,,CENTRO,73770000, ,-14.2092279,-47.6849007
76,GO,Aparecida de Goiânia,APARECIDA DE GOIANIA - VILA BRASILIA,CENTRO MUNICIPAL DE EDUCACAO PROFISSIONAL - APARECIDA DE GOIANIA - UAB,"AV. RUDÁ ESQUINA COM A RUA PINDORAMA QD 37""""A"""" LT. 1/2 ",S/N,VILA BRASILIA,74905760, ,-16.6868912,-49.2647943
77,GO,Catalão,CATALAO - JARDIM PRIMAVERA,POLO UAB - CATALAO,Rua das Violetas,100,Jardim Primavera,75712735,,-18.1554437,-47.9503766
78,GO,Cezarina,CEZARINA - CENTRO,CENTRO DE ENSINO SUPERIOR DE CEZARINA -UAB,Rui Rui Barbosa,159,Centro,76195000,,-17.0805223,-49.7524306
79,GO,Formosa,FORMOSA - ABREU,POLO DE APOIO PRESENCIAL DO MUNICIPIO DE FORMOSA - UAB,Travessa Poli Coelho,25,Abreu,73803065,Vila Yara,-15.5446442,-47.3452119
80,GO,Goianésia,GOIANESIA - SANTA LUZIA,POLO DE APOIO PRESENCIAL DA UAB DE GOIANESIA,RUA 37,354,SANTA LUZIA,76380000,colégio estadual salvador leite,-15.3178833,-49.1625989
