"UNICENTRO","-25.39509860","-51.46220160","Rua Padre Salvatore Renna,875","Santa Cruz","Guarapuava","PR","85015430","(42) 3621-1000","http://sites.unicentro.br/uab/","http://sites.unicentro.br/uab/"
"UNIFAL-MG","-21.44398360","-45.94468660","Rua Gabriel Monteiro da Silva,700","Centro","Alfenas","MG","37130000","(35) 3299-1000","http://cead.unifal-mg.edu.br/","http://cead.unifal-mg.edu.br/"
"UNIFAP","0.04606990","-51.06932380","Rod. Juscelino K. Oliveira, Km 02","Jardim Marco Zero","Macapá","AP","68902280","(96) 3312-1765","http://www2.unifap.br/ead2/","http://www2.unifap.br/ead2/"
"UNIFEI","-22.42373910","-45.45243170","Avenida BPS,1303","Pinheirinho","Itajuba","MG","37500903","(35) 3629-1416","http://www.ead.unifei.edu.br/","http://www.ead.unifei.edu.br/"
"UNIFESP","-23.59184000","-46.64877000","Rua Sena Madureira,1500","Vila Clementino","São Paulo","SP","4021000","(11) 5576-4000","http://www.unifesp.br/reitoria/uab","http://www.unifesp.br/reitoria/uab"
"UNILAB","-4.22254590","-38.72765790","Avenida da Abolição,33","Centro","Redenção","CE","62790000","(85) 3332-1410","www.unilab.edu.br","http://www.unilab.edu.br/"
"UNIMONTES","-16.72735380","-43.87176760","Campus Universitario Professor Darcy Ribeiro","Vila Mauriceia","Montes Claros","MG","39401089","(38) 3229-8336","http://www.cead.unimontes.br/","http://www.cead.unimontes.br/"
"UNIR","-8.74945250","-63.87354380","","","Porto Velho","RO","78900500","(69) 2182--216","http://www.processoseletivo.unir.br","http://www.processoseletivo.unir.br/"
"UNIRIO","-22.95298685","-43.17327768","Av. Pasteur,296","Urca","Rio De Janeiro","RJ","22290240","(21) 2542-7885","http://www.unirio.br/cead/","http://www.unirio.br/cead/"
"UNITINS","-10.19070000","-48.31658000","108 Sul Alameda 11 lote 3,3","Plano Diretor Sul","Palmas","TO","77020122","(63) 3218-4907","http://uab.unitins.br/","http://uab.unitins.br/"
"UNIVASF","-9.38994010","-40.50692480","","","Petrolina","PE","56304205","(87) 2101-6823","http://www.sead.univasf.edu.br/index.php?link=home","http://www.sead.univasf.edu.br/index.php?link=home"
"UPE","-8.04408000","-34.88605000","","","Recife","PE","50100010","(81) 3183-3789","http://www.ead.upe.br/nead2008/","http://www.ead.upe.br/nead2008/"
"UTFPR","-25.43958000","-49.26862000"," Av. Sete de Setembro, 3165","Rebouças","Curitiba","PR","80230901","(41) 3310-4501","http://www.utfpr.edu.br/estrutura-universitaria/pro-reitorias/prograd/cotedu/ead/uab","http://www.utfpr.edu.br/estrutura-universitaria/pro-reitorias/prograd/cotedu/ead/uab"
