1684,UFBA,ENSINO DE CIENCIAS (CIENCIA E 10!),ESPECIALIZAÇÃO
320,UFPB,CIENCIAS AGRARIAS,LICENCIATURA
1779,UFPB,CIENCIAS DA LINGUAGEM COM ENFASE EM LINGUA PORTUGUESA,ESPECIALIZAÇÃO
1533,UFPB,COMPUTACAO,LICENCIATURA
99,UFPB,MATEMATICA,LICENCIATURA
760,UNEB,EDUCACAO FISICA,LICENCIATURA
1348,UNEB,EDUCACAO PARA AS RELACOES ETNICORRACIAIS,APERFEIÇOAMENTO
1325,UESC,EDUCACAO EM DIREITOS HUMANOS,EXTENSÃO
1607,UESC,ENSINO DE FILOSOFIA NO ENSINO MEDIO,ESPECIALIZAÇÃO
1636,UESC,ENSINO DE MATEMATICA NO ENSINO MEDIO,ESPECIALIZAÇÃO
1727,UESC,ENSINO DE SOCIOLOGIA NO ENSINO MEDIO,ESPECIALIZAÇÃO
1261,UESC,ESTATUTO DA CRIANCA E DO ADOLESCENTE,EXTENSÃO
1588,UESC,ESTUDOS DO ATLANTICO E DA DIASPORA AFRICANA,ESPECIALIZAÇÃO
1457,UESC,GESTAO EM SAUDE,ESPECIALIZAÇÃO
259,UESC,LETRAS PORTUGUES,LICENCIATURA
1226,UFBA,GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA,EXTENSÃO
371,UFSCAR,GENERO E DIVERSIDADE NA ESCOLA,APERFEIÇOAMENTO
1612,UFPB,ENSINO DE FILOSOFIA NO ENSINO MEDIO,ESPECIALIZAÇÃO
1733,UFPB,ENSINO DE SOCIOLOGIA NO ENSINO MEDIO,ESPECIALIZAÇÃO
1347,UNEB,PRODUCAO DE MATERIAL DIDATICO PARA A DIVERSIDADE,EXTENSÃO
393,UNEB,QUIMICA,LICENCIATURA
888,UFOP,ADMINISTRACAO PUBLICA,BACHARELADO
651,UFSC,ADMINISTRACAO,BACHARELADO
181,UTFPR,GESTAO AMBIENTAL EM MUNICIPIOS,ESPECIALIZAÇÃO
1729,UFBA,ENSINO DE SOCIOLOGIA NO ENSINO MEDIO,ESPECIALIZAÇÃO
1773,UNIVASF,DOCENCIA EM BIOLOGIA,ESPECIALIZAÇÃO
1762,UNIVASF,"EDUCACAO, CONTEMPORANEIDADE E NOVAS TECNOLOGIAS",ESPECIALIZAÇÃO
1031,UFRPE,HISTORIA,LICENCIATURA
1494,UNIVASF,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
389,UNEB,ADMINISTRACAO - PILOTO,BACHARELADO
145,UFSCAR,ENGENHARIA AMBIENTAL,BACHARELADO
3,IFCE,TECNOLOGIA EM HOTELARIA,TECNOLOGO
38,UFC,ADMINISTRACAO - PILOTO,BACHARELADO
1288,UFC,EDUCACAO AMBIENTAL,APERFEIÇOAMENTO
1275,UFC,EDUCACAO DE JOVENS E ADULTOS NA DIVERSIDADE,APERFEIÇOAMENTO
1290,UFC,EDUCACAO EM DIREITOS HUMANOS,APERFEIÇOAMENTO
39,UFC,FISICA,LICENCIATURA
40,UFC,LETRAS INGLES,LICENCIATURA
41,UFC,LETRAS PORTUGUES,LICENCIATURA
42,UFC,MATEMATICA,LICENCIATURA
1283,UFC,MIDIAS NA EDUCACAO,EXTENSÃO
43,UFC,QUIMICA,LICENCIATURA
1482,UNILAB,ADMINISTRACAO PUBLICA,BACHARELADO
1483,UNILAB,GESTAO EM SAUDE,ESPECIALIZAÇÃO
1484,UNILAB,GESTAO PUBLICA,ESPECIALIZAÇÃO
1485,UNILAB,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
210,UECE,CIENCIAS BIOLOGICAS,LICENCIATURA
1152,UFC,MIDIAS NA EDUCACAO,ESPECIALIZAÇÃO
1130,UFC,PEDAGOGIA,LICENCIATURA
918,IFCE,EDUCACAO AMBIENTAL,ESPECIALIZAÇÃO
911,IFCE,EDUCACAO PARA A DIVERSIDADE,APERFEIÇOAMENTO
213,UECE,MATEMATICA,LICENCIATURA
1503,IFCE,"EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA",LICENCIATURA
2,IFCE,MATEMATICA,LICENCIATURA
861,UFC,ADMINISTRACAO PUBLICA,BACHARELADO
905,IFCE,EDUCACAO DE JOVENS E ADULTOS NA DIVERSIDADE,ESPECIALIZAÇÃO
212,UECE,COMPUTACAO,LICENCIATURA
1564,UECE,EDUCACAO A DISTANCIA,ESPECIALIZAÇÃO
1562,UECE,GESTAO PEDAGOGICA NA ESCOLA BASICA,ESPECIALIZAÇÃO
214,UECE,PEDAGOGIA - LICENCIATURA PLENA EM EDUCACAO INFANTIL E ANOS INICIAIS DO ENSINO FUND.(1 AO 5 ANO),LICENCIATURA
1404,UFC,ADMINISTRACAO,BACHARELADO
354,UFRPE,EDUCACAO AMBIENTAL,APERFEIÇOAMENTO
273,UFC,LETRAS ESPANHOL,LICENCIATURA
1129,UECE,GEOGRAFIA,LICENCIATURA
208,UECE,ADMINISTRACAO - PILOTO,BACHARELADO
155,UFSM,GESTAO EDUCACIONAL,ESPECIALIZAÇÃO
967,IFCE,PRODUCAO DE MATERIAL DIDATICO PARA A DIVERSIDADE,APERFEIÇOAMENTO
960,IFCE,MEDIADORES DE LEITURA,APERFEIÇOAMENTO
862,UECE,ADMINISTRACAO PUBLICA,BACHARELADO
863,UECE,GESTAO EM SAUDE,ESPECIALIZAÇÃO
865,UECE,GESTAO PUBLICA,ESPECIALIZAÇÃO
859,UECE,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
184,IFES,EDUCACAO PROFISSIONAL E TECNOLOGICA,ESPECIALIZAÇÃO
1670,IFES,ENSINO DE CIENCIAS (CIENCIA E 10!),ESPECIALIZAÇÃO
881,IFES,GESTAO PUBLICA MUNICIPAL,ESPECIALIZAÇÃO
186,IFES,INFORMATICA,LICENCIATURA
1412,IFES,LETRAS PORTUGUES,LICENCIATURA
4,IFES,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,TECNOLOGO
56,UFES,ARTES VISUAIS,LICENCIATURA
1505,UFES,BIOLOGIA,LICENCIATURA
44,UFES,CIENCIAS CONTABEIS,BACHARELADO
47,UFES,"DIMENSOES DA HUMANIZACAO: FILOSOFIA, PSICANALISE, MEDICINA",APERFEIÇOAMENTO
275,UFES,EDUCACAO AMBIENTAL,APERFEIÇOAMENTO
432,UFES,EDUCACAO DO CAMPO,ESPECIALIZAÇÃO
1506,UFES,FILOSOFIA,LICENCIATURA
50,UFES,FILOSOFIA E PSICANALISE,ESPECIALIZAÇÃO
58,UFES,FISICA,LICENCIATURA
1176,UFES,GESTAO DE POLITICAS PUBLICAS EM GENERO E RACA,ESPECIALIZAÇÃO
847,UFES,GESTAO EM SAUDE,ESPECIALIZAÇÃO
1509,UFES,HISTORIA,LICENCIATURA
1512,UFES,PEDAGOGIA - SERIES INICIAIS DO ENSINO FUNDAMENTAL,LICENCIATURA
1553,IFES,COMPLEMENTACAO PEDAGOGICA,FORMAÇÃO PEDAGÓGICA
185,IFES,EDUCACAO PROFISSIONAL INTEGRADA A EDUCACAO BASICA NA MODALIDADE DE EDUCACAO DE JOVENS E ADULTOS,ESPECIALIZAÇÃO
187,IFES,INFORMATICA NA EDUCACAO,ESPECIALIZAÇÃO
994,UFES,CULTURA E HISTORIAS DOS POVOS INDIGENAS,APERFEIÇOAMENTO
1308,UFES,ESTATUTO DA CRIANCA E DO ADOLESCENTE,EXTENSÃO
61,UFES,GESTAO DE AGRONEGOCIOS,ESPECIALIZAÇÃO
55,UFES,LOGISTICA,ESPECIALIZAÇÃO
59,UFES,QUIMICA,LICENCIATURA
1446,IFES,GESTAO PUBLICA ,ESPECIALIZAÇÃO
1641,UFES,ENSINO DE MATEMATICA NO ENSINO MEDIO,ESPECIALIZAÇÃO
274,UFES,ADMINISTRACAO - PILOTO,BACHARELADO
998,UFES,EDUCACAO EM DIREITOS HUMANOS,APERFEIÇOAMENTO
924,UFES,EDUCACAO PARA A DIVERSIDADE,APERFEIÇOAMENTO
938,UFES,EDUCACAO PARA AS RELACOES ETNICORRACIAIS,APERFEIÇOAMENTO
956,UFES,GENERO E DIVERSIDADE NA ESCOLA,APERFEIÇOAMENTO
289,UFJF,ESPORTES E ATIVIDADES FISICAS INCLUSIVAS PARA PESSOAS COM DEFICIENCIA,ESPECIALIZAÇÃO
285,UFG,EDUCACAO PARA A DIVERSIDADE E CIDADANIA,ESPECIALIZAÇÃO
1714,UFG,HISTORIA E CULTURA AFRO-BRASILEIRA E AFRICANA,ESPECIALIZAÇÃO
1766,UFG,"INTERDISCIPLINAR EM PATRIMONIO, DIREITOS CULTURAIS E CIDADANIA",ESPECIALIZAÇÃO
1786,UFG,LETRAMENTO INFORMACIONAL: EDUCACAO PARA A INFORMACAO,ESPECIALIZAÇÃO
1763,UFG,MATEMATICA,LICENCIATURA
67,UFG,METODOLOGIA DO ENSINO FUNDAMENTAL,ESPECIALIZAÇÃO
983,UnB,EDUCACAO E SAUDE,APERFEIÇOAMENTO
