"id","cidade","uf","lat","lng","nome_polo","nome_fantasia","logradouro","numero","bairro","cep","complemento","conceito"
"58","Castelo","ES","-20.54700650","-41.16025970","CASTELO - VILA ISABEL","POLO UAB - CASTELO","Praça Mário Lima, número","43","Vila Isabel","29360000"," Escola Madalena Pisa","AA"
"59","Conceição da Barra","ES","-18.47858340","-39.85791180","CONCEICAO DA BARRA - CENTRO","POLO MUNICIPAL DE APOIO PRESENCIAL - CENTRO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA DE CONCEICAO ","Rua Vidilino Matos de Lima","s/n","Centro","29960000","Prédio da cozinha industrial","AA"
"60","Domingos Martins","ES","-20.32732640","-40.83740110","DOMINGOS MARTINS - CENTRO","POLO MUNICIPAL DE APOIO PRESENCIAL DE DOMINGOS MARTINS - UAB","TRAVESSA AUGUSTO SCHWAMBACH","87","CENTRO","29260000"," ","AA"
"61","Ecoporanga","ES","-18.37725510","-40.71585700","ECOPORANGA - CENTRO","POLO UNIVERSITARIO DE APOIO PRESENCIAL DA UNIVERSIDADE ABERTA DO BRASIL DE ECOPORANGA","Rua José Cruz","s/n°","CENTRO","29850000","","AA"
"62","Itapemirim","ES","-20.98299040","-40.99905970","ITAPEMIRIM - CENTRO","POLO DE APOIO PRESENCIAL DO SISTEMA UNIVERSIDADE ABERTA DO BRASIL - UAB DE ITAPEMIRIM/ES.","AVENIDA CRISTIANO DIAS LOPES FILHO","s/nº","CENTRO","29330000"," ","AA"
"63","Iúna","ES","-20.35977260","-41.74073940","IUNA - NITEROI","POLO MUNICIPAL DE EDUCACAO ABERTA E A DISTANCIA  DE IUNA","AV. MINTAS OSÓRIO DE MATTOS","1459","NITEROI","29390000","PARQUE DE EXPOSIÇÕES CASSIANO OSÓRIO JÚNIOR","AA"
"64","Mantenópolis","ES","-18.88727170","-41.05956360","MANTENOPOLIS - CENTRO"," POLO MUNICIPAL DE APOIO PRESENCIAL DE MANTENOPOLIS/ES  CEME@AD -CENTRO MUNICIPAL DE EDUCACAO ABERTA","Av. TIRADENTES ","","CENTRO","29770000","EM CIMA DA RODOVIÁRIA","NA"
"65","Mimoso do Sul","ES","-21.09852120","-41.40119600","MIMOSO DO SUL - CHACARA DO CHAFARIZ","POLO MUNICIPAL DE APOIO PRESENCIAL - CENTRO MUNICIPAL DE EDUCACAO ABERTA E DISTANCIA - MIMOSO DO SUL","RUA PROJETADA  ","s/n","CHÁCARA DO CHAFARIZ","29400000"," Pombal","AA"
"67","Pinheiros","ES","-18.39586650","-40.18621290","PINHEIROS - CENTRO","CESP- CENTRO DE EDUCACAO SUPERIOR DE PINHEIROS - UAB","Rua: General Rondon","S/N","CENTRO","29980000","Bairro  Nova Canaã","AA"
"68","Piúma","ES","-20.84517360","-40.76653150","PIUMA - CENTRO","POLO UAB - PIUMA","Rua Jair Novais","56","Centro","29285000","","AA"
"69","Santa Leopoldina","ES","-20.10543870","-40.51271420","SANTA LEOPOLDINA - CENTRO","POLO DE APOIO PRESENCIAL/UAB - UNIVERSIDADE ABERTA DO BRASIL","RUA MOXAFONGO","s/n","CENTRO","29640000"," PRÉDIO","AP"
"70","Vargem Alta","ES","-20.64588120","-41.01923490","VARGEM ALTA - CENTRO","POLO MUNICIPAL DE APOIO PRESENCIAL CEMEAD "ISAAC THOMPSON DE PAULA "VARGEM ALTA - UAB"," RUA PEDRO ISRAEL DAVID","500","CENTRO","29295000"," ","AA"
"73","Aguas Lindas de Goiás","GO","-15.74603580","-48.29909800","AGUAS LINDAS DE GOIAS - MANSOES OLINDA","POLO UAB - AGUAS LINDAS DE GOIAS","RUA 13 - QUADRA A1 LOTE 02 ","","MANSÕES OLINDA","72910000"," ","AA"
"74","Alexânia","GO","-16.08213610","-48.50743070","ALEXANIA - FAZENDA CACHOEIRA","POLO UAB - ALEXANIA "CORA CORALINA"","GO 139 KM 02 ","","FAZENDA CACHOEIRA","72930000","ESCOLA AGRÍCOLA LOTHAR SCHILLER ","AA"
"75","Alto Paraíso de Goiás","GO","-14.20922790","-47.68490070","ALTO PARAISO DE GOIAS - CENTRO","POLO UAB ALTO PARAISO DE GOIAS","RUA SÃO JORGE QUADRA 26 PARTE DA  APM 6","","CENTRO","73770000"," ","AA"
"76","Aparecida de Goiânia","GO","-16.68689120","-49.26479430","APARECIDA DE GOIANIA - VILA BRASILIA","CENTRO MUNICIPAL DE EDUCACAO PROFISSIONAL - APARECIDA DE GOIANIA - UAB","AV. RUDÁ ESQUINA COM A RUA PINDORAMA QD 37""A"" LT. 1/2 ","S/N","VILA BRASILIA","74905760"," ","AA"
"77","Catalão","GO","-18.15544370","-47.95037660","CATALAO - JARDIM PRIMAVERA","POLO UAB - CATALAO","Rua das Violetas","100","Jardim Primavera","75712735","","AA"
"78","Cezarina","GO","-17.08052230","-49.75243060","CEZARINA - CENTRO","CENTRO DE ENSINO SUPERIOR DE CEZARINA -UAB","Rui Rui Barbosa","159","Centro","76195000","","AA"
"79","Formosa","GO","-15.54464420","-47.34521190","FORMOSA - ABREU","POLO DE APOIO PRESENCIAL DO MUNICIPIO DE FORMOSA - UAB","Travessa Poli Coelho","25","Abreu","73803065","Vila Yara","FR"
"80","Goianésia","GO","-15.31788330","-49.16259890","GOIANESIA - SANTA LUZIA","POLO DE APOIO PRESENCIAL DA UAB DE GOIANESIA","RUA 37","354","SANTA LUZIA","76380000","colégio estadual salvador leite","AA"
"81","São Simão","GO","-18.97505800","-50.55497190","SAO SIMAO - POPULAR","POLO UAB - SAO SIMAO","rua 14, esquina com 21 e 25.","","POPULAR","75890000","Escola Municipal de Ensino Fundamental  José porfírio nogueira","AA"
"82","Uruana","GO","-15.57741560","-49.65031060","URUANA - CENTRO","POLO UAB DE URUANA-GO","RUA 13 ","S/N","CENTRO","76335000"," ","AA"
"83","Imperatriz","MA","-5.52055080","-47.47184080","IMPERATRIZ - PRACA UNIAO","POLO UAB IMPERATRIZ","Dom Pedro II","S/N","Praça União","65901090","","AA"
"84","Porto Franco","MA","-6.34138160","-47.17521230","PORTO FRANCO - VILA SAO FRANCISCO","POLO UAB - PORTO FRANCO","Av. Tiradentes","2060","Vila São Francisco","65970000"," ","AA"
"85","Alterosa","MG","-21.24063060","-46.09448450","ALTEROSA - CRUZEIRO","POLO DE EDUCACAO A DISTANCIA DA BAIXA MOGIANA - ALTEROSA - UAB","Rua José Joaquim Terra","65","Cruzeiro","37145000","","AA"
"86","Araçuaí","MG","-16.97757460","-41.99897180","ARACUAI - CENTRO","CAED - ARACUAI - UAB","PRAÇA OLEGÁRIO MACIEL","32","CENTRO","39600000"," ","AA"
"87","Araguari","MG","-18.64943080","-48.20844340","ARAGUARI - FATIMA","POLO DE APOIO PRESENCIAL DE ARAGUARI - UAB","Praça Augusto Diniz","55","Fátima","38442148","","AA"
"88","Bicas","MG","-21.74277550","-43.11656210","BICAS - CENTRO","POLO REGIONAL UNIVERSITARIO DE BICAS - UAB"," RUA CÔNEGO PIO ","","CENTRO","36600000"," ","AA"
